Timestamp,Livro - Selecionar um livro abaixo e fazer um review enganoso - (caso queira fazer um review de um livro que não está na lista abaixo pode-se utilizar a opção outros adicionando o livro no formato (<<nome do livro>> - <<autor do livro>>)),Nota para o Livro escolhido,Já leu o livro?,Review (resenha) enganoso(a) sobre o livro acima (mínimo 300 caracteres) ,Gênero,Idade,Ocupação,Região do Brasil em que nasceu,
2017/12/10 6:57:26 PM GMT,Como eu era antes de você – Jojo Moyes,4,,"Louisa Clark tem 26 anos, e está se recuperando de um grave acidente, mas acaba de conseguir um novo emprego como secretaria do diretor de uma das maiores agências de publicidade da sua nova cidade, tudo vai bem em sua vida pessoal e profissional, até que ela conhece seu novo chefe o jovem bilionário Will Traynor de 35 anos,  que apesar de muito bem sucedido, vive sua rotina de maneira automática, com a certeza de que nunca mais voltará a se envolver verdadeiramente com nenhuma mulher,  entretanto Will se atrai instantaneamente pelo jeito divertido de sua nova secretaria, o que nenhum dos dois imaginavam é que essa seria a chave para uma nova chance de ambos, a chave para um futuro feliz.",Masculino,24,Estudante,Sudeste,8910712
2017/12/10 6:58:24 PM GMT,A Cabana - William P. Young,5,,"Mackenzie Allen Phillips é um homem bem-sucedido, excelente pai e marido, casado há vários anos e com 5 filhos, sua vida vira de ponta cabeça quando sua filha mais nova adoece e acaba morrendo. Mack se culpa por isso, achando que foi um péssimo pai e que ele poderia ter feito algo para faze-la melhorar e se isola de tudo e de todos, inclusive de sua família e deixa de acreditar em Deus por ter perdido sua filha.
Cansado também de sua rotina estressante, onde nada mais fazia sentido, Mack resolve vender tudo o que tinha para se mudar para o campo, em busca de tranquilidade, é quando Mack encontra é essa cabana no campo, para onde acaba se mudando com sua família, mal sabia que este seria o lugar onde ele se reencontraria com Deus e onde sua vida voltaria aos trilhos. Mack então começa uma vida nova no campo, onde vive em paz com sua família, em sua cabana.
",Masculino,24,Estudante,Sudeste,8910712
2017/12/10 7:00:40 PM GMT,Harry Potter e o Enigma do Príncipe - J.K. Rowling,5,,"Harry, um dos mais conhecidos nomes entre aqueles que lutam contra Voldemort ( o maior e mais perigoso criminoso do mundo) agora se vê em uma situação complicada já que os planos de Voldemort começam a afetar todo o mundo. Considerado um dos melhores solucionadores de enigmas, Harry agora se vê encurralado quando surge o boato de que o príncipe de da Inglaterra, e também seu grande amigo, está envolvido nas tramas de Voldemort, mas Harry sabe que algo está errado e começa sua busca incessante por respostas a respeito dessa estranha aliança. Durante sua busca por resposta, Harry é sequestrado e percebe que ele, apesar de não saber a resposta de grandioso enigma, é a peça chave para os planos do Príncipe, já que segundo o seu grande amigo e príncipe, Harry é o único capaz de chegar a uma resposta e acabar com todo o plano.",Masculino,24,Estudante,Sudeste,8910712
2017/12/10 7:02:08 PM GMT,A Cabana - William P. Young,2,,"Este livro conta a história de dois amantes que se encontravam em uma cabana no meio da praia. Eles se conheceram durante uma chuva torrencial que os levou a se abrigar na cabana, porém o teto era de cipó e tinham muitas goteiras que deixaram a moça com a blusa toda molhada, então o rapaz resolveu ajudá-la emprestando sua blusa, o restante você vai precisar ler o livro para descobrir...",Feminino,44,estudante,Sudeste,9266921
2017/12/10 7:05:15 PM GMT,A Culpa é das Estrelas - John Green,4,,"Hazel Grace é uma jovem sonhadora, que luta contra uma grave doença, e em busca da cura, se muda para o Norte da Califórnia, para tentar um novo tratamento com o renomado Dr. Augustus Waters, um médico jovem, porém muito capacitado, durante os intervalos do tratamento o médico se comove com a história de Hazel e a leva para conhecer a nova cidade. Além de Hazel conseguir a cura tão sonhada e esperada, ainda realizará o sonho de se casar quando for pedida em casamento pelo amado Augustus no seu lugar favorito da cidade.",Masculino,24,Estudante,Sudeste,8910712
2017/12/10 7:08:42 PM GMT,A Menina que Roubava Livros - Markus Zusak,1,,"Você irá se divertir com a história dessa menina que roubava livros na cafeteria mais famosa da cidade de Nova York, as pessoas iam tomar café e ao deixarem seus livros sobre a mesa, num piscar de olhos a menina os pegava e com sua técnica mágica, os escondia sob suas roupas coloridas de tecido indiano muito bem lavadas e com um cheiro particular de jasmim das montanhas, jamais alguém desconfiou dela, até que um dia..",Feminino,44,estudante,Sudeste,9266921
2017/12/10 7:14:32 PM GMT,O Ladrão de Raios - Rick Riordan,5,,"O ladrão de raios foi o carro utilizado para o Prof alimentar sua máquina do tempo, aquele raio caiu sobre a torre da Igreja sendo conduzido por um enorme fio até que o carro absorveu toda sua energia, transformando em cosmo mirabolante e levando seu aluno duas décadas a frente de seu tempo, o suspense se dá quando ele tenta voltar ao seu tempo e nao consegue capturar um raio tão facilmente como no passado.",Feminino,44,estudante,Sudeste,9266921
2017/12/10 10:41:59 PM GMT,Crepúsculo - Stephenie Meyer,5,,"Isabella Swan, é uma adolescente de 17 anos, que vive em Forks com os pais desde que nasceu, apesar de ser a garota mais bonita e popular do colégio nunca se interessou por nenhum garoto da pequena cidade, até o primeiro dia de aula do 3° ano, quando viu pela primeira vez Edward Cullen o garoto que se mudou do Alasca recente com a familia, e que perdeu Alice sua irmã gêmea  em um grave acidente há 5 anos,  desde muito pequenos Edward e a irmã eram muito ligados, e mesmo após a morte de Alice, eles possuíam uma ligação e todo dia 30 de novembro, dia do aniversário deles, no horário do Crepúsculo Edward conseguia ver e conversar com a Alice, assim naquele primeiro dia de aula, no momento em que viu Isabela pela primeira vez, soube o porquê da irmã pedir para se mudarem para  pequena cidade do estado de Washington, pois ela sabia que o seu futuro e a sua felicidade estaria ali.",Masculino,24,Estudante ,Sudeste,8910712
2017/12/10 10:42:49 PM GMT,A Culpa é das Estrelas - John Green,1,,"O livro não passa de uma narrativa depressiva sobre o sofrimento de dois adolescentes com câncer. É uma sequência de eventos tristes, sobre o dia-a-dia deles internados em um hospital especializado na doença. Não tem nada a acrescentar, nenhuma história de vida ou de esperança. Sem reviravoltas surpreendentes. Não recomendo.",Feminino,24,Estudante,Sudeste,7961652
2017/12/10 10:51:21 PM GMT,Lua Nova - Stephenie Meyer,1,,"Apenas mais uma continuação da saga de livros péssimos de Stephenie Meyer onde dois jovens vivem um romance proibido que muda de acordo com as fases da lua. Além de tudo, denigre a imagem das lendas que são os vampiros. Não entendo por qual motivo essa saga continua. Deveria ser banida de todas as prateleiras do país.",Feminino,24,Estudante,Sudeste,7961652
2017/12/10 10:56:14 PM GMT,Harry Potter e o Prisioneiro de Azkaban - J.K. Rowling,5,,"Nesse livro o lendário Harry Potter é sequestrado por um dos mais violentos e perigosos prisioneiros de Azkaban. A narrativa é de tirar o fôlego, cheia de momentos tensos, horripilantes. Não acredito que seja um livro recomendado para menores de idade por conter momentos de pura violência e tortura. Ainda assim, é um dos meus favoritos.",Feminino,24,Estudante,Sudeste,7961652
2017/12/10 11:00:06 PM GMT,O Pequeno Príncipe - Antoine de Saint-Exupéry,1,,"Um dos livros mais entediantes que já li. Descreve o dia de um príncipe que se perde entre os casebres de seu reino e tem que aprender a se esconder, pois se for reconhecido poderá ser linchado pela população que sofre de muita fome. Ao final do livro, o Príncipe consegue retornar ao seu castelo com algumas lições que talvez farão dele um Rei melhor que seu pai. Ainda assim, é um livro que não acrescenta em nada. Perdi meu tempo.
",Feminino,24,Estudante,Sudeste,7961652
