id,review,livro,nota,sentimento,classe
22,"O ladrão de raios conta uma história de um ladrão que viveu na criminalidade, cercado por drogas e armas, desde cedo aprende a roubar e fazer da oportunidade dinheiro. Após se ver em uma enrascada, decide roubar a arma do chefe do crime organizado, a arma era chamada de raio, pois após a pessoa fazer o primeiro disparo os seguintes vinham em uma sucessão de balas  estrondosas e letais. Ninguém sabia da origem da mesma, apenas o chefe do crime organizado, que  tinha recebido de presente por um trabalho feito a muito tempo atrás. A arma era estranhamente bela e banhada a ouro, mas por que um ladrão iria roubar um arma de um chefe do crime organizado? Ele sem dúvida colocou uma bala entre os olhos ao fazer isso, mas o desespero e a simples necessidade de sobrevivência levaram este ladrão a se aliar ao rival de seu chefe e cavar a sua própria sepultura. Ao mesmo tempo um policial novato percorria as ruas lutando contra o tráfico de drogas com seus dois colegas de farda, sem saberem que estavam sendo traídos por um de seus amigos. Essa uma é história altamente violenta que pode dar pesadelos aos desavisados, envolvidos em mistério e linguagem violenta explicita, com muitas mortes e reviravoltas.  Demonstrando as várias facetas do crime e como meras pessoas sem perspectivas acabam se envolvendo ou caindo mundo das drogas, onde prédios alcançam além do céu e cavalos tem asas.",O Ladrão de Raios,3,,fake
23,"A cabana trata-se de um livro sobre a arquitetura de uma cabana e sua construção de forma simples e clara para leigos. Ensinando desde como cortar as madeiras para a construção das paredes e portas até como fazer seu próprio vidro para colocar nas janelas. Até tem dicas para fazer isso em família, nada como o trabalho de suas próprias mãos! No livro ainda existem as medidas recomendadas de acordo com os espaço disponível e as devidas conversões, com opções de dois quartos, sala de jantar e as divisões da cabana para melhor aproveitamento, tudo bem explicado e pronto para ser usado. E como trás dicas de como fazer isso em família também contém dicas de como lidar com os conflitos por estarem todos juntos. Com o bônus de uma história de um pai que perde uma filha  e tem problemas de raiva com o próprio pai, sendo que ele próprio não consegue como lidar com a perda e a morte que aconteceram em uma cabana! Não se assuste, pois isso não se trata de um livro para a criação de uma história de terror. Não seria recomendado um livro de faça você mesmo para ocorrer uma tragédia dentro da própria casa.É uma ótima opção para quem quer fazer algo com as próprias mãos ou que por motivos econômicos não pode contratar mão de obra para fazer o trabalho. É  recomendado em todo o decorrer da construção que se use as devidas precauções de segurança de acordo com a regulação vigente de trabalho.
",A Cabana,4,,fake
24,"É um livro que é uma releitura do livro “O Princípe” de Maquiavel, retratado de uma forma mais futurista, em que um príncipe que  vive em um planeta minúsculo com um brasão de uma rosa como símbolo, deixa o seu mundo para dominar outros planetas e realidades usando toda a sorte de diplomacias políticas ou até mesmo uma espada e armas para conquistar aquilo que considera seu por direito de nascimento e de posição. Ao decorrer de toda história consegue distorcer a mente das pessoas as fazendo pensar verem uma cobra que comeu um elefante e não um chapéu como é  possível enxergar. Elevando a engenharia social a novos níveis, manipulando as pessoas a seu bel prazer sem considerar sentimentos, consequências de seus atos ou o impacto na vidas das pessoas. Vivendo de forma hedonista o pequeno príncipe  move as pessoas como peças de seu jogo de xadrez sejam reis, rainhas ou presidentes tecendo uma teia política de destruição.Sendo um ótimo livro para se tomar como exemplo de aplicação da engenharia social de forma prática e eficiente, não sendo de forma simples mas de alto desempenho. É impossível não se chocar com os resultados das tramas empreendidas e seus resultados de grande sucesso, sem ao menos uma pessoa descobrir que está sendo manipulado, para além de dar os seus bens, bancar as aventuras do príncipe dando partes de si mesmo. 

",O Pequeno Príncipe,5,,fake
25,"Em meio de um sistema político ditatorial, com pessoas sendo perseguidas e mortas por questões religiosas e políticas, uma menina com sede de conhecimento entra em um esquema de tráfico de livros para dentro do país, por ser a pessoa mais  improvável passa despercebida por todos, mas em seu quarto debaixo da cama uma montanha de livros e mais livros vai se formando e atrás de seu guarda roupa também. Aos poucos os livros vão sendo deixados em lugares escondidos, tão perto dos olhos quanto longe deles para quem não sabe ou prefere fingir não ver. Engana-se pobre leitor que pensa que são meros livros, pois existiam livros naquele país, mas apenas livros permitidos pelo governo que em sua maioria o exaltavam ou proclamavam ódio veemente a seus inimigos, e a frases ensaiadas o mesmo  discurso ia entrando na mente como uma mentira que depois de ser repetidas  muitas vezes vai tornando-se verdade para aquele que o fala. Com pequenos gestos de revolução a menina que roubava livros formava uma pequena resistência tão silenciosa e furtiva que muitos não percebiam mais que aos poucos ia se fortalecendo e ajudando outros que afetados pela guerra silenciosa sem armas e nem bombas ocorria. O livro trata-se de uma menina que combate uma guerra de ideologias que afetam muitas vidas e que querem ser implantadas a todo o custo por quem as segue.
",A Menina que Roubava Livros,5,,fake
26,"É um guia interativo dividido em 12 capítulos sobre jogos e como divertir-se  em grupo ou até mesmo sozinho jogando-os. Cada capítulo refere-se a quantidade de jogadores, separando-os por jogos de imaginação ou até jogos de tabuleiros e resenhas do mesmo. Com um bônus de faça você mesmo de jogos é um ótimo livro para quem quer gastar pouco ao invés de comprar vários jogos sem saber do que irá gostar e a própria capa do jogo vira um tabuleiro de vida ou morte em que cada jogador tem duas vidas e cada um representa um distrito, e a cada passo do jogo novas armas são liberadas ou suplementos escondidos são abertos, nada como um pouco diversão para animar as reuniões de amigos ou as festas de família, por tratar-se de uma edição especial, é feita algumas edições por ano apenas uma vez, as pessoas podem adquirir uma quantidade limitada do livro. Por isso é importante ficar atento as datas de lançamento para adquirir o livros dentro da quantidade impressa limite, apesar do preço ser alto, no final das contas sai bem mais barato que todos os jogos que você iria adquirir se não fosse por este livro. 
",Jogos Vorazes,5,,fake
27,"O livro conta a história de dois robôs que estão em uma ilha paradisíaca onde eles vivem aventuras emocionantes em torno de uma lagoa azul, quando eles resolvem entrar na lagoa e tem alguns circuitos queimados provocando o vazamento de fluidos radioativos na lagoa, tornando os peixes contaminados.
O ápice se dá quando um morador local consome um desses peixes e tem uma reação inesperada!","Eu, Robô",4,,fake
28,"O livro explica passo a passo como fazer uma aquarela do autor Antoine de Saint Exupéry, você irá aprender técnicas para expor a ingenuidade de uma criança e fazer a pintura de uma montanha e de um pequeno príncipe com cores e desenvolvimento simples, poderá também fazer pedras pontudas e desenhar uma aventura.",O Pequeno Príncipe,4,,fake
29,"Louisa Clark tem 26 anos, e está se recuperando de um grave acidente, mas acaba de conseguir um novo emprego como secretaria do diretor de uma das maiores agências de publicidade da sua nova cidade, tudo vai bem em sua vida pessoal e profissional, até que ela conhece seu novo chefe o jovem bilionário Will Traynor de 35 anos,  que apesar de muito bem sucedido, vive sua rotina de maneira automática, com a certeza de que nunca mais voltará a se envolver verdadeiramente com nenhuma mulher,  entretanto Will se atrai instantaneamente pelo jeito divertido de sua nova secretaria, o que nenhum dos dois imaginavam é que essa seria a chave para uma nova chance de ambos, a chave para um futuro feliz.",Como eu era antes de você,4,,fake
30,"Mackenzie Allen Phillips é um homem bem-sucedido, excelente pai e marido, casado há vários anos e com 5 filhos, sua vida vira de ponta cabeça quando sua filha mais nova adoece e acaba morrendo. Mack se culpa por isso, achando que foi um péssimo pai e que ele poderia ter feito algo para faze-la melhorar e se isola de tudo e de todos, inclusive de sua família e deixa de acreditar em Deus por ter perdido sua filha.
Cansado também de sua rotina estressante, onde nada mais fazia sentido, Mack resolve vender tudo o que tinha para se mudar para o campo, em busca de tranquilidade, é quando Mack encontra é essa cabana no campo, para onde acaba se mudando com sua família, mal sabia que este seria o lugar onde ele se reencontraria com Deus e onde sua vida voltaria aos trilhos. Mack então começa uma vida nova no campo, onde vive em paz com sua família, em sua cabana.
",A Cabana,5,,fake
31,"Harry, um dos mais conhecidos nomes entre aqueles que lutam contra Voldemort ( o maior e mais perigoso criminoso do mundo) agora se vê em uma situação complicada já que os planos de Voldemort começam a afetar todo o mundo. Considerado um dos melhores solucionadores de enigmas, Harry agora se vê encurralado quando surge o boato de que o príncipe de da Inglaterra, e também seu grande amigo, está envolvido nas tramas de Voldemort, mas Harry sabe que algo está errado e começa sua busca incessante por respostas a respeito dessa estranha aliança. Durante sua busca por resposta, Harry é sequestrado e percebe que ele, apesar de não saber a resposta de grandioso enigma, é a peça chave para os planos do Príncipe, já que segundo o seu grande amigo e príncipe, Harry é o único capaz de chegar a uma resposta e acabar com todo o plano.",Harry Potter e o Enigma do Príncipe,5,,fake
32,"Este livro conta a história de dois amantes que se encontravam em uma cabana no meio da praia. Eles se conheceram durante uma chuva torrencial que os levou a se abrigar na cabana, porém o teto era de cipó e tinham muitas goteiras que deixaram a moça com a blusa toda molhada, então o rapaz resolveu ajudá-la emprestando sua blusa, o restante você vai precisar ler o livro para descobrir...",A Cabana,2,,fake
33,"Hazel Grace é uma jovem sonhadora, que luta contra uma grave doença, e em busca da cura, se muda para o Norte da Califórnia, para tentar um novo tratamento com o renomado Dr. Augustus Waters, um médico jovem, porém muito capacitado, durante os intervalos do tratamento o médico se comove com a história de Hazel e a leva para conhecer a nova cidade. Além de Hazel conseguir a cura tão sonhada e esperada, ainda realizará o sonho de se casar quando for pedida em casamento pelo amado Augustus no seu lugar favorito da cidade.",A Culpa é das Estrelas,4,,fake
34,"Você irá se divertir com a história dessa menina que roubava livros na cafeteria mais famosa da cidade de Nova York, as pessoas iam tomar café e ao deixarem seus livros sobre a mesa, num piscar de olhos a menina os pegava e com sua técnica mágica, os escondia sob suas roupas coloridas de tecido indiano muito bem lavadas e com um cheiro particular de jasmim das montanhas, jamais alguém desconfiou dela, até que um dia..",A Menina que Roubava Livros,1,,fake
35,"O ladrão de raios foi o carro utilizado para o Prof alimentar sua máquina do tempo, aquele raio caiu sobre a torre da Igreja sendo conduzido por um enorme fio até que o carro absorveu toda sua energia, transformando em cosmo mirabolante e levando seu aluno duas décadas a frente de seu tempo, o suspense se dá quando ele tenta voltar ao seu tempo e nao consegue capturar um raio tão facilmente como no passado.",O Ladrão de Raios,5,,fake
36,"Isabella Swan, é uma adolescente de 17 anos, que vive em Forks com os pais desde que nasceu, apesar de ser a garota mais bonita e popular do colégio nunca se interessou por nenhum garoto da pequena cidade, até o primeiro dia de aula do 3° ano, quando viu pela primeira vez Edward Cullen o garoto que se mudou do Alasca recente com a familia, e que perdeu Alice sua irmã gêmea  em um grave acidente há 5 anos,  desde muito pequenos Edward e a irmã eram muito ligados, e mesmo após a morte de Alice, eles possuíam uma ligação e todo dia 30 de novembro, dia do aniversário deles, no horário do Crepúsculo Edward conseguia ver e conversar com a Alice, assim naquele primeiro dia de aula, no momento em que viu Isabela pela primeira vez, soube o porquê da irmã pedir para se mudarem para  pequena cidade do estado de Washington, pois ela sabia que o seu futuro e a sua felicidade estaria ali.",Crepúsculo ,5,,fake
37,"O livro não passa de uma narrativa depressiva sobre o sofrimento de dois adolescentes com câncer. É uma sequência de eventos tristes, sobre o dia-a-dia deles internados em um hospital especializado na doença. Não tem nada a acrescentar, nenhuma história de vida ou de esperança. Sem reviravoltas surpreendentes. Não recomendo.",A Culpa é das Estrelas,1,,fake
38,"Apenas mais uma continuação da saga de livros péssimos de Stephenie Meyer onde dois jovens vivem um romance proibido que muda de acordo com as fases da lua. Além de tudo, denigre a imagem das lendas que são os vampiros. Não entendo por qual motivo essa saga continua. Deveria ser banida de todas as prateleiras do país.",Lua Nova ,1,,fake
39,"Nesse livro o lendário Harry Potter é sequestrado por um dos mais violentos e perigosos prisioneiros de Azkaban. A narrativa é de tirar o fôlego, cheia de momentos tensos, horripilantes. Não acredito que seja um livro recomendado para menores de idade por conter momentos de pura violência e tortura. Ainda assim, é um dos meus favoritos.",Harry Potter e o Prisioneiro de Azkaban,5,,fake
40,"Um dos livros mais entediantes que já li. Descreve o dia de um príncipe que se perde entre os casebres de seu reino e tem que aprender a se esconder, pois se for reconhecido poderá ser linchado pela população que sofre de muita fome. Ao final do livro, o Príncipe consegue retornar ao seu castelo com algumas lições que talvez farão dele um Rei melhor que seu pai. Ainda assim, é um livro que não acrescenta em nada. Perdi meu tempo.
",O Pequeno Príncipe,1,,fake
41,"O livro conta uma história de adultério. Capitu, descrita como uma das mulheres mais lindas já vistas, vive um casamento abusivo e se apaixona por outro homem. Esse sim um homem decente. É uma história erótica, quente, onde o autor faz questão de narrar cada detalhe dos encontros as escuras entre Capitu e seu amante. ",Dom Casmurro,4,,fake
42,"A história de Macabéa é contada passo a passo por seu autor, de um modo que os leitores acompanhem o seu processo de criação. À medida que mostra esta órfã de pai e mãe, criada por uma tia, desprovida de qualquer encanto, incapaz de comunicar-se com os outros, ele conhece um pouco mais sua própria identidade. A descrição do dia-a-dia de Macabéa como datilógrafa, o namoro com Olímpico, seu relacionamento com o patrão e com a colega Glória e o encontro final com a cartomante estão sempre acompanhados por convites constantes ao leitor para ver com o autor de que matéria é feita a vida de um ser humano que se sente invisível",As Vantagens de Ser Invisível,4,,fake
43,"Mackenzie tem uma paixão platônica pela magnífica vizinha e colega de escola Allen. Até que em um cinco de maio que poderia ter sido outro dia qualquer, ela invade sua vida pela janela de seu quarto, com a cara pintada e vestida de ninja, convocando-o a fazer parte de um engenhoso plano de vingança. E ele, é claro, aceita. 
Assim que a noite de aventuras acaba e um novo dia se inicia, Mack então descobre que o paradeiro da sempre enigmática Allen é agora um mistério. No entanto, ele logo encontra pistas e começa a segui-las. Impelido em direção a um caminho tortuoso, quanto mais Mack se aproxima de Allen, mais se distancia da imagem da garota que ele achava que conhecia.
",A Cabana,5,,fake
44,"Novos e conhecidos personagens do Acampamento Meio-Sangue dividem espaço nesse livro. Rick Riordan volta ao universo de Percy Jackson com ainda mais aventuras, humor e mistério.

Depois de salvar o Olimpo do maligno titã Cronos, Percy Jackson e seus amigos trabalharam duro para reconstruir seu mais querido refúgio, o Acampamento Meio-Sangue. É lá que a próxima geração de semideuses terá de se preparar para enfrentar uma nova e aterrorizante profecia.

Os campistas seguirão firmes na inevitável jornada, mas, para sobreviver, precisarão contar com a ajuda de alguns heróis, digamos, um pouco mais experientes - semideuses dos quais todos já ouvimos falar... e muito.",O Mar de Monstros,2,,fake
45,"'Havia algo que Edward não queria que eu soubesse. Algo que Jacob não teria escondido de mim. Algo quepôs tanto os Cullen quanto os lobos no bosque, movendo-se juntos numa proximidade perigosa. (…) Algo que eu, de algum modo, esperava. Que eu sabia que aconteceria de novo, tanto quanto desejava que jamais acontecesse. Nunca teria um fim, teria?'
Estar irrevogavelmente apaixonada por um vampiro é tanto uma fantasia como um pesadelo, costurados em uma perigosa realidade para Bella Swan. Empurrada em uma direção por sua intensa paixão por Edward Cullen, e em outra por sua profunda ligação com o lobisomem Jacob Black, ela resistiu a um tumultuado ano de tentação, perda e conflito até o momento da decisão definitiva. A escolha entre fazer parte do obscuro, mas sedutor, mundo dos imortais ou permanecer vivendo como humana se tornou o marco que poderá transformar o destino dos dois clãs: vampiros e lobisomens. Agora que Bella, tomou sua decisão, uma corrente de acontecimentos sem precedentes se desdobrará, com consequências devastadoras. No momento em que as feridas parecem prontas para ser cicatrizadas, e os desgastantes confrontos da vida de Bella, resolvidos, isso pode significar a destruição. Para todos. Para sempre.",Eclipse ,1,,fake
46,"A história de Macabéa é contada passo a passo por seu autor, o escritor Rodrigo S.M. (um alter-ego de Clarice Lispector), de um modo que os leitores acompanhem o seu processo de criação. O romance conta o amor de um branco, Olímpico de Jesus, pela índia Macabéa, a virgem dos lábios de mel. Entre guerras e conflitos, ciúmes e disputa de poder, a história desse amor proibido tem como pano de fundo a cultura indígena e a miscigenação do branco com o índio.",A hora da estrela,3,,fake
47,"Aos dezessete anos Savannah Lynn Curtis vê sua vida virada de cabeça para baixo, quando seus pais se divorciaram e seu pai decide se mudar. Três anos depois, ela continua magoada e distante dos pais, particularmente do pai. Entretanto, sua mãe decide que seria melhor para os filhos passarem as férias de verão com o pai.

O pai de Savannah vive uma vida tranquila na cidade, absorto na criação de uma obra de arte que será a peça central da igreja local. Ressentida e revoltada, Savannah rejeita toda e qualquer tentativa de aproximação dele e ameaça voltar antes do verão acabar. É quando Savannah Lynn Curtis conhece John Tyree, o garoto mais popular da cidade, e conforme vai baixando a guarda começa a apaixonar-se profundamente por ele, abrindo-se para uma nova experiência que lhe proporcionará uma imensa felicidade – e dor – jamais sentida.
",Querido John,4,,fake
